Customer Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Segment
Bashirian-Kassulke Pharma Plc,731,214,1997481.0,1,2,1,121,4,New
Bashirian-Kassulke Pharmacy,0,384,20508727.0,5,3,4,534,12,Loyal
Bayer LLC ,0,417,34834444.0,5,5,5,555,15,Champions
Bayer LLC Pharm,0,381,12960048.0,5,3,2,532,10,At Risk
Bayer LLC Pharmaceutical Ltd,731,205,2324731.0,1,1,1,111,3,Lost
"Beahan, Littel and Ondricka ",0,362,15585678.0,5,2,3,523,10,At Risk
"Beahan, Littel and Ondricka Pharma Plc",0,373,17506161.0,5,3,3,533,11,Loyal
"Beahan, Littel and Ondricka Pharmacy",731,199,2399758.0,1,1,1,111,3,Lost
"Beer, Kohler and Beatty ",0,389,27426626.0,5,4,5,545,14,Champions
"Beer, Kohler and Beatty Pharmaceutical Ltd",731,216,2959937.0,1,2,1,121,4,New
"Beer, Kohler and Beatty Pharmacy",0,387,20164440.0,5,4,4,544,13,Champions
Beier PLC ,0,405,13148370.25753,5,5,2,552,12,At Risk
Beier PLC Pharm,0,426,25378116.40704,5,5,5,555,15,Champions
Beier PLC Pharma Plc,0,380,22310763.0,5,3,5,535,13,Loyal
Beier PLC Pharmacy,731,202,3264824.0,1,1,1,111,3,Lost
"Bernier, Murphy and Rau Pharma Plc",0,368,14620034.0,5,2,2,522,9,At Risk
"Bernier, Murphy and Rau Pharmaceutical Limited",0,392,25860721.0,5,4,5,545,14,Champions
"Bernier, Murphy and Rau Pharmaceutical Ltd",731,164,4338922.0,1,1,2,112,4,New
"Blanda, Stehr and Gleason Pharma Plc",0,389,17899263.0,5,4,3,543,12,Loyal
"Blanda, Stehr and Gleason Pharmaceutical Ltd",0,361,15502581.0,5,2,3,523,10,At Risk
"Blick, Pacocha and Schowalter ",731,225,4866124.0,1,2,2,122,5,New
"Blick, Pacocha and Schowalter Pharmaceutical Limited",0,388,12122039.0,5,4,2,542,11,At Risk
"Blick, Pacocha and Schowalter Pharmacy",0,385,12145917.0,5,3,2,532,10,At Risk
"Block, Thiel and Kuphal Pharm",0,372,19367044.0,5,3,4,534,12,Loyal
"Block, Thiel and Kuphal Pharmaceutical Limited",0,382,17154476.0,5,3,3,533,11,Loyal
Block-Romaguera ,0,412,21344191.0,5,5,4,554,14,Champions
Block-Romaguera Pharmaceutical Limited,731,217,3611190.0,1,2,1,121,4,New
Block-Romaguera Pharmacy,0,382,15793125.0,5,3,3,533,11,Loyal
"Bogan, Jacobs and Kris Pharmaceutical Limited",0,380,13625131.0,5,3,2,532,10,At Risk
"Bogan, Jacobs and Kris Pharmaceutical Ltd",0,378,31085593.0,5,3,5,535,13,Loyal
"Bogan, Jacobs and Kris Pharmacy",731,207,2456080.0,1,1,1,111,3,Lost
Bosco-Marquardt Pharm,731,196,3124277.0,1,1,1,111,3,Lost
Bosco-Marquardt Pharmaceutical Limited,0,368,25433148.0,5,2,5,525,12,At Risk
Bosco-Marquardt Pharmaceutical Ltd,0,386,29978482.0,5,4,5,545,14,Champions
Botsford PLC ,0,427,24768128.0,5,5,5,555,15,Champions
Botsford PLC Pharmacy,731,188,3338687.0,1,1,1,111,3,Lost
Botsford and Sons ,0,399,20852469.0,5,4,4,544,13,Champions
Botsford and Sons Pharma Plc,0,398,16780942.0,5,4,3,543,12,Loyal
Botsford and Sons Pharmaceutical Ltd,731,206,4444486.0,1,1,2,112,4,New
Boyer and Sons ,0,419,17718374.0,5,5,3,553,13,Loyal
Boyer and Sons Pharmaceutical Limited,731,229,6574331.0,1,2,2,122,5,New
Boyer and Sons Pharmaceutical Ltd,0,425,15911451.0,5,5,3,553,13,Loyal
"Brakus, Rempel and Harber Pharm",0,400,13020611.0,5,4,2,542,11,At Risk
"Brakus, Rempel and Harber Pharma Plc",731,175,1780951.0,1,1,1,111,3,Lost
"Brakus, Rempel and Harber Pharmacy",0,415,18095126.0,5,5,4,554,14,Champions
Breitenberg-Kuhn ,0,377,14175297.0,5,3,2,532,10,At Risk
Breitenberg-Kuhn Pharma Plc,0,365,19173245.0,5,2,4,524,11,At Risk
Breitenberg-Kuhn Pharmacy,731,208,3648594.0,1,1,1,111,3,Lost
Buckridge Inc Pharm,0,373,18752650.0,5,3,4,534,12,Loyal
Buckridge Inc Pharmaceutical Limited,0,417,19855032.0,5,5,4,554,14,Champions
"Buckridge, Dach and Carroll ",0,399,18470960.0,5,4,4,544,13,Champions
"Buckridge, Dach and Carroll Pharmaceutical Limited",731,195,2606825.0,1,1,1,111,3,Lost
"Buckridge, Dach and Carroll Pharmaceutical Ltd",0,407,25142017.0,5,5,5,555,15,Champions
"Buckridge, Hand and Hyatt ",0,377,13511491.0,5,3,2,532,10,At Risk
"Buckridge, Hand and Hyatt Pharma Plc",731,210,4539521.0,1,1,2,112,4,New
"Buckridge, Hand and Hyatt Pharmaceutical Ltd",0,417,36107411.0,5,5,5,555,15,Champions
Buckridge-Davis ,731,197,2894720.0,1,1,1,111,3,Lost
Buckridge-Davis Pharmaceutical Limited,0,403,26096674.0,5,5,5,555,15,Champions
Buckridge-Davis Pharmaceutical Ltd,0,412,17481679.0,5,5,3,553,13,Loyal
Buckridge-Strosin Pharma Plc,0,412,30221186.0,5,5,5,555,15,Champions
Buckridge-Strosin Pharmaceutical Limited,731,184,2717132.0,1,1,1,111,3,Lost
Buckridge-Strosin Pharmaceutical Ltd,0,355,33261230.3419,5,2,5,525,12,At Risk
Carter-Conn Pharm,0,376,17098169.0,5,3,3,533,11,Loyal
Carter-Conn Pharma Plc,731,222,6825490.0,1,2,2,122,5,New
Carter-Conn Pharmaceutical Ltd,0,402,16124613.0,5,5,3,553,13,Loyal
Cartwright-Fay ,0,400,17323557.0,5,4,3,543,12,Loyal
Cartwright-Fay Pharmaceutical Ltd,0,372,16730721.0,5,3,3,533,11,Loyal
"Casper, Hyatt and Jakubowski Pharmaceutical Limited",731,203,2748326.0,1,1,1,111,3,Lost
"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",0,405,24533946.0,5,5,5,555,15,Champions
"Casper, Hyatt and Jakubowski Pharmacy",0,348,16258870.0,5,2,3,523,10,At Risk
Cassin PLC Pharma Plc,0,401,26126485.0,5,5,5,555,15,Champions
Cassin PLC Pharmaceutical Limited,0,408,21760605.0,5,5,4,554,14,Champions
Cassin PLC Pharmacy,731,218,3055438.0,1,2,1,121,4,New
Collins-Schmidt Pharma Plc,0,373,13474719.361,5,3,2,532,10,At Risk
Collins-Schmidt Pharmaceutical Limited,0,386,12781136.0,5,4,2,542,11,At Risk
"Corkery, Trantow and Ferry Pharm",0,387,26198762.0,5,4,5,545,14,Champions
"Corkery, Trantow and Ferry Pharma Plc",0,375,20195908.0,5,3,4,534,12,Loyal
Corkery-Kovacek Pharm,0,436,30091420.0,5,5,5,555,15,Champions
Corkery-Kovacek Pharma Plc,0,384,22438560.0,5,3,5,535,13,Loyal
"Cormier, Dietrich and Zulauf Pharma Plc",731,184,4507086.0,1,1,2,112,4,New
"Cormier, Dietrich and Zulauf Pharmaceutical Limited",0,377,19559458.0,5,3,4,534,12,Loyal
"Cormier, Dietrich and Zulauf Pharmacy",0,393,28329883.0,5,4,5,545,14,Champions
Cremin-Zemlak Pharma Plc,0,370,14709283.0,5,2,3,523,10,At Risk
Cremin-Zemlak Pharmaceutical Limited,0,366,16188040.0,5,2,3,523,10,At Risk
Crist Inc ,731,217,5137959.0,1,2,2,122,5,New
Crist Inc Pharma Plc,0,381,14113368.0,5,3,2,532,10,At Risk
Crist Inc Pharmaceutical Ltd,0,371,13297454.0,5,3,2,532,10,At Risk
Crist LLC ,0,363,14504025.0,5,2,2,522,9,At Risk
Crist LLC Pharma Plc,0,367,17935445.0,5,2,4,524,11,At Risk
Crist Ltd Pharma Plc,0,374,14899138.0,5,3,3,533,11,Loyal
"Crist, Wisoky and Nolan Pharm",0,371,22827209.0,5,3,5,535,13,Loyal
"Crist, Wisoky and Nolan Pharmaceutical Limited",0,379,15833467.0,5,3,3,533,11,Loyal
"Crist, Wisoky and Nolan Pharmaceutical Ltd",731,222,4637033.0,1,2,2,122,5,New
Crona Group ,0,378,15164236.5,5,3,3,533,11,Loyal
Crona Group Pharma Plc,731,206,3129089.0,1,1,1,111,3,Lost
Crona PLC Pharma Plc,731,210,2047523.0,1,1,1,111,3,Lost
Crona PLC Pharmaceutical Ltd,0,409,21130726.0,5,5,4,554,14,Champions
Crona PLC Pharmacy,0,380,15562126.0,5,3,3,533,11,Loyal
Cummings LLC ,0,342,15615225.0,5,2,3,523,10,At Risk
Cummings LLC Pharmaceutical Ltd,0,368,20236110.0,5,2,4,524,11,At Risk
D'Amore and Sons ,731,209,2652079.0,1,1,1,111,3,Lost
D'Amore and Sons Pharm,0,428,26467886.0,5,5,5,555,15,Champions
D'Amore and Sons Pharmacy,0,421,14282238.0,5,5,2,552,12,At Risk
Dach Ltd Pharm,0,399,16935870.0,5,4,3,543,12,Loyal
Dach Ltd Pharma Plc,0,413,20993338.0,5,5,4,554,14,Champions
Dach PLC ,0,370,18546157.0,5,2,4,524,11,At Risk
Dach PLC Pharm,0,376,26222321.0,5,3,5,535,13,Loyal
"Daniel, Baumbach and Nitzsche ",0,376,23306130.0,5,3,5,535,13,Loyal
"Daniel, Baumbach and Nitzsche Pharmacy",0,374,13915632.5089,5,3,2,532,10,At Risk
Daugherty-Rempel Pharm,0,415,23762988.0,5,5,5,555,15,Champions
Daugherty-Rempel Pharma Plc,731,191,4546602.0,1,1,2,112,4,New
Daugherty-Rempel Pharmaceutical Limited,0,386,17559603.0,5,4,3,543,12,Loyal
"Denesik, Walter and Beatty ",0,382,12650974.0,5,3,2,532,10,At Risk
"Denesik, Walter and Beatty Pharma Plc",731,210,3484514.0,1,1,1,111,3,Lost
"Denesik, Walter and Beatty Pharmacy",0,408,15682041.0,5,5,3,553,13,Loyal
Denesik-Hintz Pharm,731,222,2392035.0,1,2,1,121,4,New
Denesik-Hintz Pharma Plc,0,380,14681500.0,5,3,3,533,11,Loyal
Denesik-Hintz Pharmaceutical Limited,0,356,14276666.0,5,2,2,522,9,At Risk
Doyle-Tillman Pharm,0,379,17738035.0,5,3,3,533,11,Loyal
Doyle-Tillman Pharmaceutical Limited,0,404,21692895.0,5,5,4,554,14,Champions
Doyle-Tillman Pharmaceutical Ltd,731,219,7158142.0,1,2,2,122,5,New
Durgan-Rice Pharmaceutical Ltd,0,389,19881661.979592,5,4,4,544,13,Champions
Durgan-Rice Pharmacy,0,391,18052321.0,5,4,4,544,13,Champions
"Effertz, Heaney and Tillman Pharm",0,397,16753635.0,5,4,3,543,12,Loyal
"Effertz, Heaney and Tillman Pharma Plc",0,418,17984317.0,5,5,4,554,14,Champions
"Effertz, Heaney and Tillman Pharmaceutical Ltd",731,218,3432986.0,1,2,1,121,4,New
Emard-O'Connell Pharm,0,388,19971681.0,5,4,4,544,13,Champions
Emard-O'Connell Pharmaceutical Ltd,0,408,20531534.0,5,5,4,554,14,Champions
Emard-O'Connell Pharmacy,731,196,3676546.0,1,1,1,111,3,Lost
Erdman PLC ,0,370,18568129.0,5,2,4,524,11,At Risk
Erdman PLC Pharma Plc,0,374,15429328.0,5,3,3,533,11,Loyal
Erdman PLC Pharmacy,731,198,3183228.0,1,1,1,111,3,Lost
"Erdman, Senger and Oberbrunner Pharm",731,204,4230846.0,1,1,2,112,4,New
"Erdman, Senger and Oberbrunner Pharmaceutical Ltd",0,353,14186478.0,5,2,2,522,9,At Risk
"Erdman, Senger and Oberbrunner Pharmacy",0,403,22043224.0,5,5,5,555,15,Champions
Fadel-West ,731,172,3189603.0,1,1,1,111,3,Lost
Fadel-West Pharmaceutical Ltd,0,365,36767294.0,5,2,5,525,12,At Risk
Fadel-West Pharmacy,0,369,40355816.0,5,2,5,525,12,At Risk
Fahey-Flatley ,0,381,14572760.0,5,3,2,532,10,At Risk
Fahey-Flatley Pharmaceutical Ltd,0,405,21702505.0,5,5,4,554,14,Champions
Fahey-Prosacco Pharmaceutical Limited,0,364,24011986.0,5,2,5,525,12,At Risk
Fahey-Prosacco Pharmacy,0,389,18990780.0,5,4,4,544,13,Champions
Feest PLC ,731,183,2021466.0,1,1,1,111,3,Lost
Feest PLC Pharmaceutical Limited,0,381,22126737.0,5,3,5,535,13,Loyal
Feest PLC Pharmaceutical Ltd,0,393,18496533.0,5,4,4,544,13,Champions
Feest-Kshlerin ,0,393,13525280.0,5,4,2,542,11,At Risk
Feest-Kshlerin Pharma Plc,0,372,10446536.0,5,3,2,532,10,At Risk
Feest-Kshlerin Pharmaceutical Ltd,731,205,5283949.0,1,1,2,112,4,New
Feest-Roob Pharmaceutical Limited,0,419,16699897.0,5,5,3,553,13,Loyal
Feest-Roob Pharmaceutical Ltd,731,196,2705799.0,1,1,1,111,3,Lost
Feest-Roob Pharmacy,0,377,12432676.0,5,3,2,532,10,At Risk
Franecki Inc Pharma Plc,0,407,14514932.0,5,5,2,552,12,At Risk
Franecki Inc Pharmacy,0,396,16460568.0,5,4,3,543,12,Loyal
Friesen Group ,0,396,17341092.0,5,4,3,543,12,Loyal
Friesen Group Pharm,0,392,24254576.0,5,4,5,545,14,Champions
Fritsch LLC Pharm,0,401,18245919.0,5,5,4,554,14,Champions
Fritsch LLC Pharmaceutical Ltd,0,378,24462902.0,5,3,5,535,13,Loyal
"Fritsch, Hodkiewicz and Sipes Pharma Plc",0,437,23370239.0,5,5,5,555,15,Champions
"Fritsch, Hodkiewicz and Sipes Pharmacy",0,365,13618070.0,5,2,2,522,9,At Risk
Fritsch-Hauck Pharm,0,346,13243526.0,5,2,2,522,9,At Risk
Fritsch-Hauck Pharma Plc,731,207,2973355.0,1,1,1,111,3,Lost
Fritsch-Hauck Pharmaceutical Ltd,0,367,20050325.0,5,2,4,524,11,At Risk
Funk PLC Pharm,0,408,17589925.00639,5,5,3,553,13,Loyal
Funk PLC Pharma Plc,0,407,15286470.0,5,5,3,553,13,Loyal
Funk PLC Pharmaceutical Limited,731,214,4191722.0,1,2,2,122,5,New
Funk and Sons Pharm,0,393,13871742.0,5,4,2,542,11,At Risk
Funk and Sons Pharmaceutical Limited,731,204,3182287.0,1,1,1,111,3,Lost
Funk and Sons Pharmacy,0,390,27629333.6,5,4,5,545,14,Champions
"Funk, Ratke and Heaney ",0,386,29152180.0,5,4,5,545,14,Champions
"Funk, Ratke and Heaney Pharma Plc",0,397,18351514.0,5,4,4,544,13,Champions
"Funk, Ratke and Heaney Pharmacy",731,206,3897042.0,1,1,1,111,3,Lost
"Gerhold, Mills and Effertz ",0,388,10508296.0,5,4,2,542,11,At Risk
"Gerhold, Mills and Effertz Pharm",731,186,3138581.0,1,1,1,111,3,Lost
"Gerhold, Mills and Effertz Pharma Plc",0,382,10465861.0,5,3,2,532,10,At Risk
Gerlach LLC ,731,220,3319091.0,1,2,1,121,4,New
Gerlach LLC Pharma Plc,0,408,15092746.0,5,5,3,553,13,Loyal
Gerlach LLC Pharmacy,0,388,18156445.25,5,4,4,544,13,Champions
Gerlach PLC Pharmaceutical Ltd,0,381,18232829.0,5,3,4,534,12,Loyal
Gibson-Hill ,0,391,18790176.0,5,4,4,544,13,Champions
Gibson-Hill Pharma Plc,731,227,3867089.0,1,2,1,121,4,New
Gibson-Hill Pharmaceutical Limited,0,406,24554301.0,5,5,5,555,15,Champions
Gleason PLC Pharma Plc,0,382,18345826.0,5,3,4,534,12,Loyal
Gleason PLC Pharmaceutical Limited,0,378,22282456.0,5,3,5,535,13,Loyal
"Gleichner, Bahringer and Morar Pharma Plc",731,217,3312361.0,1,2,1,121,4,New
"Gleichner, Bahringer and Morar Pharmaceutical Limited",0,388,43779381.0,5,4,5,545,14,Champions
"Gleichner, Bahringer and Morar Pharmacy",0,384,15652843.0,5,3,3,533,11,Loyal
Goldner-Tillman Pharm,0,396,37935553.0,5,4,5,545,14,Champions
Goldner-Tillman Pharmacy,0,399,22575320.0,5,4,5,545,14,Champions
Gottlieb-Cruickshank Pharm,0,386,16287002.0,5,4,3,543,12,Loyal
Gottlieb-Cruickshank Pharma Plc,731,213,2848546.0,1,2,1,121,4,New
Gottlieb-Koss Pharm,0,391,30339224.0,5,4,5,545,14,Champions
Gottlieb-Koss Pharmacy,0,373,17658742.0,5,3,3,533,11,Loyal
Graham and Sons Pharm,0,393,21646429.68342,5,4,4,544,13,Champions
Graham and Sons Pharma Plc,0,385,18293117.0,5,3,4,534,12,Loyal
Graham and Sons Pharmacy,731,201,2682005.0,1,1,1,111,3,Lost
"Greenholt, Donnelly and O'Reilly Pharmaceutical Limited",731,211,2195889.0,1,1,1,111,3,Lost
"Greenholt, Donnelly and O'Reilly Pharmaceutical Ltd",0,375,17688642.0,5,3,3,533,11,Loyal
"Grimes, Jacobs and Durgan Pharm",731,190,2243375.0,1,1,1,111,3,Lost
"Grimes, Jacobs and Durgan Pharma Plc",0,389,18473363.0,5,4,4,544,13,Champions
Gulgowski-Vandervort Pharm,0,428,16454043.0,5,5,3,553,13,Loyal
Gulgowski-Vandervort Pharma Plc,0,384,26263639.0,5,3,5,535,13,Loyal
"Haag, Bradtke and Terry ",0,429,36155634.0,5,5,5,555,15,Champions
"Haag, Bradtke and Terry Pharm",0,405,11107603.0,5,5,2,552,12,At Risk
"Haag, Bradtke and Terry Pharmacy",731,200,2105639.0,1,1,1,111,3,Lost
"Hahn, Rutherford and Gislason Pharm",0,388,12465536.0,5,4,2,542,11,At Risk
"Hahn, Rutherford and Gislason Pharmaceutical Limited",731,200,2348617.0,1,1,1,111,3,Lost
"Hahn, Rutherford and Gislason Pharmacy",0,401,13647046.0,5,5,2,552,12,At Risk
Haley PLC Pharmaceutical Limited,731,188,3083122.0,1,1,1,111,3,Lost
Haley PLC Pharmacy,0,370,23473886.0,5,2,5,525,12,At Risk
"Hammes, Bashirian and Pacocha ",0,384,13911219.0,5,3,2,532,10,At Risk
"Hammes, Bashirian and Pacocha Pharmacy",0,383,11667849.0,5,3,2,532,10,At Risk
Hane Ltd ,0,398,21229550.244147,5,4,4,544,13,Champions
Hane Ltd Pharmaceutical Ltd,0,368,18353020.0,5,2,4,524,11,At Risk
Hansen Group Pharm,731,211,3631981.0,1,1,1,111,3,Lost
Hansen Group Pharmacy,0,399,17569970.0,5,4,3,543,12,Loyal
"Hansen, Fadel and Schroeder Pharm",731,210,2225392.0,1,1,1,111,3,Lost
"Hansen, Fadel and Schroeder Pharma Plc",0,399,18012485.0,5,4,4,544,13,Champions
"Hansen, Fadel and Schroeder Pharmaceutical Ltd",0,412,18099093.0,5,5,4,554,14,Champions
"Harris, Daugherty and Okuneva Pharm",0,408,27261177.0,5,5,5,555,15,Champions
"Harris, Daugherty and Okuneva Pharma Plc",731,197,1948473.0,1,1,1,111,3,Lost
"Harris, Daugherty and Okuneva Pharmaceutical Limited",0,374,17697168.0,5,3,3,533,11,Loyal
Harris-Conroy Pharm,0,421,23313821.0,5,5,5,555,15,Champions
Harris-Conroy Pharmacy,0,383,18059065.0,5,3,4,534,12,Loyal
Hartmann-Wolf ,731,192,2101036.0,1,1,1,111,3,Lost
Hartmann-Wolf Pharmaceutical Limited,0,394,15002150.0,5,4,3,543,12,Loyal
Hartmann-Wolf Pharmacy,0,407,22818672.0,5,5,5,555,15,Champions
Hayes-Kilback Pharma Plc,0,399,20511137.0,5,4,4,544,13,Champions
Hayes-Kilback Pharmaceutical Limited,0,379,37181108.0,5,3,5,535,13,Loyal
Hayes-Kilback Pharmaceutical Ltd,731,217,3964929.0,1,2,1,121,4,New
"Heathcote, Grant and Witting Pharm",731,221,3030441.0,1,2,1,121,4,New
"Heathcote, Grant and Witting Pharmaceutical Limited",0,396,22097548.0,5,4,5,545,14,Champions
"Heathcote, Grant and Witting Pharmacy",0,364,29273736.0,5,2,5,525,12,At Risk
"Heathcote, Kovacek and Parker ",0,409,16331539.0,5,5,3,553,13,Loyal
Heidenreich Group Pharm,0,399,14083983.63317,5,4,2,542,11,At Risk
Heidenreich Group Pharmaceutical Ltd,731,209,3849892.0,1,1,1,111,3,Lost
Heidenreich Group Pharmacy,0,400,30216194.0,5,4,5,545,14,Champions
Heller-Abernathy ,731,210,4394462.0,1,1,2,112,4,New
Heller-Abernathy Pharma Plc,0,400,17794218.0,5,4,3,543,12,Loyal
Heller-Abernathy Pharmaceutical Limited,0,402,20685879.0,5,5,4,554,14,Champions
"Herman, Rice and Rippin ",731,206,2270513.0,1,1,1,111,3,Lost
"Herman, Rice and Rippin Pharm",0,409,20974624.0,5,5,4,554,14,Champions
"Herman, Rice and Rippin Pharmaceutical Limited",0,401,27376951.0,5,5,5,555,15,Champions
Herman-Koss Pharm,731,201,3426586.0,1,1,1,111,3,Lost
Herman-Koss Pharmaceutical Limited,0,389,20436900.04348,5,4,4,544,13,Champions
Herman-Koss Pharmaceutical Ltd,0,392,22849800.0,5,4,5,545,14,Champions
Hermiston LLC ,731,214,3507057.0,1,2,1,121,4,New
Hermiston LLC Pharm,0,366,14705734.0,5,2,3,523,10,At Risk
Hermiston LLC Pharmaceutical Limited,0,384,18657693.7652,5,3,4,534,12,Loyal
Hermiston LLC Pharmaceutical Ltd,0,371,16170352.0,5,3,3,533,11,Loyal
Hermiston and Sons Pharma Plc,731,219,2715991.0,1,2,1,121,4,New
Hermiston and Sons Pharmaceutical Ltd,0,403,16744798.0,5,5,3,553,13,Loyal
Hermiston and Sons Pharmacy,0,392,17283582.0,5,4,3,543,12,Loyal
Hill Ltd ,731,213,3483214.0,1,2,1,121,4,New
Hill Ltd Pharma Plc,0,348,13628308.0,5,2,2,522,9,At Risk
Hill Ltd Pharmaceutical Limited,0,373,15510941.0,5,3,3,533,11,Loyal
Hill-Daniel ,0,374,20537571.0,5,3,4,534,12,Loyal
Hill-Daniel Pharmaceutical Ltd,0,380,27600353.0,5,3,5,535,13,Loyal
"Hills, Stroman and Ernser ",0,390,15665366.0,5,4,3,543,12,Loyal
"Hills, Stroman and Ernser Pharm",731,197,2448488.0,1,1,1,111,3,Lost
"Hills, Stroman and Ernser Pharmaceutical Ltd",0,378,15004858.0,5,3,3,533,11,Loyal
"Hirthe, Williamson and Macejkovic ",0,419,20701441.0,5,5,4,554,14,Champions
"Hirthe, Williamson and Macejkovic Pharma Plc",731,206,2735314.0,1,1,1,111,3,Lost
"Hirthe, Williamson and Macejkovic Pharmacy",0,391,19467179.0,5,4,4,544,13,Champions
Hoeger Ltd ,0,382,23303292.0,5,3,5,535,13,Loyal
Hoeger Ltd Pharm,0,372,30914624.0,5,3,5,535,13,Loyal
Homenick-Larson ,0,392,16467605.0,5,4,3,543,12,Loyal
Homenick-Larson Pharmaceutical Ltd,0,390,17315988.0,5,4,3,543,12,Loyal
Huel Inc Pharm,0,392,24169351.0,5,4,5,545,14,Champions
Huels-Klein ,0,403,23946371.0,5,5,5,555,15,Champions
Huels-Klein Pharmaceutical Ltd,0,391,14550335.0,5,4,2,542,11,At Risk
Jacobs-Jones Pharma Plc,0,382,18970897.0,5,3,4,534,12,Loyal
Jacobs-Jones Pharmaceutical Ltd,0,361,17303434.0,5,2,3,523,10,At Risk
Jakubowski Inc Pharma Plc,0,416,13945119.0,5,5,2,552,12,At Risk
Jakubowski Inc Pharmaceutical Limited,731,226,4784385.0,1,2,2,122,5,New
Jakubowski Inc Pharmacy,0,380,22199526.0,5,3,5,535,13,Loyal
Jast-Cruickshank Pharma Plc,731,207,3665136.0,1,1,1,111,3,Lost
Jast-Cruickshank Pharmaceutical Ltd,0,382,19451890.0,5,3,4,534,12,Loyal
Jast-Cruickshank Pharmacy,0,365,12331196.0,5,2,2,522,9,At Risk
"Johns, Mueller and Nitzsche ",0,384,24712891.0,5,3,5,535,13,Loyal
"Johns, Mueller and Nitzsche Pharma Plc",0,366,17268947.0,5,2,3,523,10,At Risk
"Johnson, Friesen and Torphy Pharm",0,379,12656990.0,5,3,2,532,10,At Risk
"Johnson, Friesen and Torphy Pharma Plc",731,189,3226534.0,1,1,1,111,3,Lost
Keeling LLC Pharmaceutical Limited,0,422,26532373.0,5,5,5,555,15,Champions
Keeling LLC Pharmacy,731,184,4530078.0,1,1,2,112,4,New
"Kertzmann, Quitzon and Harris ",0,395,20021173.0,5,4,4,544,13,Champions
"Kertzmann, Quitzon and Harris Pharma Plc",731,193,2819581.0,1,1,1,111,3,Lost
"Kertzmann, Quitzon and Harris Pharmaceutical Limited",0,382,14835040.0,5,3,3,533,11,Loyal
Kertzmann-Ward Pharma Plc,731,197,3495786.0,1,1,1,111,3,Lost
Kertzmann-Ward Pharmaceutical Limited,0,378,23151949.0,5,3,5,535,13,Loyal
Kihn Group ,0,401,26209384.0,5,5,5,555,15,Champions
Kihn Group Pharm,0,379,11299828.0,5,3,2,532,10,At Risk
Kihn Group Pharmaceutical Limited,0,390,21723459.0,5,4,4,544,13,Champions
"Kilback, Beer and Batz ",0,369,23566905.0,5,2,5,525,12,At Risk
"Kilback, Beer and Batz Pharma Plc",731,204,5009905.0,1,1,2,112,4,New
"Kirlin, Hamill and Dickinson Pharma Plc",0,361,13231664.0,5,2,2,522,9,At Risk
"Kirlin, Hamill and Dickinson Pharmaceutical Limited",0,363,12394267.0,5,2,2,522,9,At Risk
